id,name,team,position,bye_week,drafted,locked,fantasy_points,average_draft_position,player_rating,injury_status,week_1_points,week_2_points,week_3_points,week_4_points,week_5_points,week_6_points,week_7_points,week_8_points,week_9_points,week_10_points,week_11_points,week_12_points,week_13_points,week_14_points,week_15_points,week_16_points,week_17_points
16731,Brandin Cooks,DAL,WR,7,0,0,155.9,161.4,83.5,ACTIVE,4.2,,3.7,6.7,2.3,15.0,,14.2,1.7,32.3,7.2,17.2,10.7,10.6,9.6,10.4,10.1
4241372,Marquise Brown,KC,WR,10,0,0,155.6,93.5,89.5,QUESTIONABLE,8.7,17.4,17.1,16.6,16.1,7.4,7.9,15.3,6.4,,3.2,14.8,13.1,,11.6,,
3953687,Brandon Aubrey,DAL,K,7,0,0,153.8,94.0,97.3,ACTIVE,10.0,18.0,11.0,12.0,6.0,8.0,,13.0,7.0,7.0,9.0,9.0,8.8,8.8,8.8,8.5,8.9
4385690,Dalton Kincaid,BUF,TE,13,0,0,150.9,141.5,95.0,ACTIVE,6.6,9.3,2.3,6.7,3.9,,15.5,17.5,16.1,16.1,10.6,8.8,,10.3,11.0,9.0,7.2
-16033,Ravens D/ST,BAL,DST,13,0,0,150.3,79.9,96.8,ACTIVE,12.0,5.0,7.0,17.0,8.0,13.0,11.0,6.0,15.0,13.0,7.0,16.0,,6.1,6.3,3.3,4.6
14880,Kirk Cousins,ATL,QB,11,0,0,149.7,149.2,85.2,QUESTIONABLE,16.5,28.6,25.7,9.6,19.9,8.7,21.0,19.9,,,,,,,,,
3050478,Jake Elliott,PHI,K,10,0,0,147.3,120.6,89.3,ACTIVE,18.0,12.0,11.0,18.0,11.0,1.0,7.0,10.0,4.0,,3.0,9.0,8.6,8.5,8.7,8.6,8.9
3045144,Tyler Boyd,CIN,WR,7,0,0,147.2,165.6,84.2,ACTIVE,3.0,11.2,8.9,6.6,9.9,16.8,,13.6,8.6,19.7,5.2,5.3,7.0,7.9,6.1,10.3,7.0
3915511,Joe Burrow,CIN,QB,7,0,0,147.2,151.0,84.3,QUESTIONABLE,3.2,15.4,8.2,4.7,23.4,13.8,,27.6,22.3,19.9,8.7,,,,,,
3051392,Ezekiel Elliott,NE,RB,11,0,0,146.5,165.9,77.8,ACTIVE,7.3,1.3,9.7,4.2,7.8,11.9,9.1,3.6,6.2,10.8,,7.2,7.4,13.4,15.8,15.8,14.9
15965,Dustin Hopkins,CLE,K,5,0,0,146.5,159.3,100.0,QUESTIONABLE,12.0,8.0,12.0,5.0,,16.0,22.0,8.0,9.0,14.0,7.0,6.0,7.0,7.3,6.8,6.4,
-16005,Browns D/ST,CLE,DST,5,0,0,146.4,127.3,93.6,ACTIVE,9.0,9.0,14.0,6.0,,8.0,12.0,4.0,23.0,15.0,8.0,5.0,5.3,5.3,7.4,7.2,8.2
4239086,Desmond Ridder,ARI,QB,14,0,0,145.8,170.2,79.6,ACTIVE,8.9,21.4,6.3,6.2,26.2,16.1,13.8,3.4,,8.7,,9.7,12.4,,12.7,,
3121427,Curtis Samuel,BUF,WR,13,0,0,144.7,160.3,85.3,ACTIVE,11.0,6.2,7.4,18.2,18.5,14.2,6.5,6.2,,2.6,1.5,19.0,,,11.1,11.2,11.2
4032473,Rashid Shaheed,NO,WR,11,0,0,144.0,169.9,85.6,ACTIVE,19.0,10.3,6.0,6.3,4.8,18.3,7.2,24.3,5.2,7.4,,2.9,,,11.2,10.1,10.9
2977187,Cooper Kupp,LAR,WR,10,0,0,143.9,27.6,78.2,ACTIVE,,,,,19.8,27.8,6.9,6.1,6.8,,2.1,4.8,13.1,12.6,14.3,14.6,15.0
3117256,Dalton Schultz,HOU,TE,7,0,0,143.1,133.8,95.6,ACTIVE,2.4,7.4,1.9,13.2,19.5,16.1,,2.5,27.0,11.1,11.2,1.2,,,10.0,8.6,11.0
2473037,Jason Myers,SEA,K,5,0,0,142.0,160.7,92.0,ACTIVE,7.0,5.0,18.0,5.0,,9.0,9.0,6.0,3.0,21.0,14.0,8.0,7.0,6.8,7.9,7.6,7.8
4048244,Alexander Mattison,LV,RB,13,0,0,141.6,139.0,85.5,ACTIVE,13.4,4.9,17.5,10.8,12.6,11.2,6.2,4.3,17.3,4.3,7.0,8.3,,10.8,,6.8,6.3
4430878,Jaxon Smith-Njigba,SEA,WR,5,0,0,140.4,167.5,82.4,ACTIVE,4.3,8.4,2.0,3.5,,8.8,16.3,12.6,12.3,9.3,7.0,6.1,8.6,9.5,11.3,10.3,10.0
4259619,Blake Grupe,NO,K,11,0,0,140.4,169.5,81.3,ACTIVE,12.0,8.0,4.0,10.0,14.0,7.0,10.0,8.0,7.0,4.0,,18.0,7.8,7.9,7.5,7.7,7.5
